,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
199410,1.34,-2.3,-1.66,0.22,-0.62,0.38,1.43
199411,-4.04,0.09,-0.69,0.45,-0.44,0.37,-0.2
199412,0.86,0.07,-0.2,0.5,0.31,0.44,3.5
199501,1.8,-3.11,2.54,0.09,-0.83,0.42,-1.82
199502,3.63,-0.52,1.12,0.61,-0.33,0.4,-0.36
199503,2.19,-0.51,-2.15,-0.09,0.16,0.46,0.38
199504,2.11,-0.29,1.71,0.24,1,0.44,1.8
199505,2.9,-2.2,2.23,0.37,0.09,0.54,-0.44
199506,2.72,3.03,-2.5,-0.33,-2.44,0.47,2.9
199507,3.72,2.07,-1.63,0.28,-1.71,0.45,2.53
199508,0.55,1.78,2.84,-1.17,1.64,0.47,0.09
199509,3.35,-1.97,0.02,1.06,0.36,0.43,2.71
199510,-1.52,-4.09,-0.46,1.84,-0.03,0.47,4.11
199511,3.96,-1.14,0.61,-0.54,1.19,0.42,-0.65
199512,1.03,0.69,0.33,-1.35,2.99,0.49,2.54
199601,2.26,-2.49,0.22,0.13,2.27,0.43,0.57
199602,1.33,1.76,-1.16,0.24,-1.8,0.39,0.57
199603,0.73,1.63,0.31,1.46,-0.97,0.39,-1.88
199604,2.06,4.7,-4.08,-0.14,-2.2,0.46,-0.91
199605,2.36,3.13,-0.8,0.15,-0.22,0.42,1.55
199606,-1.14,-3.57,2.26,3.34,1.09,0.4,1.01
199607,-5.97,-3.82,5.16,2.95,2.59,0.45,-0.11
199608,2.77,2.58,-0.78,-0.41,-2.42,0.41,-0.05
199609,5.01,-1.37,-2.76,1.24,-2.18,0.44,2.7
199610,0.86,-3.84,4.92,1.52,2.97,0.42,3.91
199611,6.25,-3.82,1.46,2.05,-0.73,0.41,-2.23
199612,-1.7,3.16,1.33,0.41,1.52,0.46,0.61
199701,4.98,-1.85,-1.43,1.23,-0.28,0.45,1.95
199702,-0.49,-2.66,5.7,0.67,3.41,0.39,-2.05
199703,-5.02,-0.5,3.43,0.46,1.66,0.43,0.96
199704,4.04,-5.72,0.09,3.36,-0.9,0.43,4.92
199705,6.74,4.74,-4.08,-1.03,-2.91,0.49,-5.16
199706,4.1,1.17,1.62,0.61,0.55,0.37,2.62
199707,7.33,-2.76,0.2,0.09,-2.56,0.43,3.81
199708,-4.15,7.65,1.12,-1.01,-0.02,0.41,-2.55
199709,5.35,2.5,0.29,-1.59,-0.93,0.44,1.45
199710,-3.8,-0.54,2.33,1.07,1.87,0.42,-0.38
199711,2.98,-5.09,1.24,2.83,1.66,0.39,0.29
199712,1.32,-2.14,4.03,0.76,1.92,0.48,3.95
